"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.126070750E0,6.676116943E-2,2.257305908E-1,9.796228638E0,9.799056428E0
1.136131750E0,7.559280396E-2,2.254312134E-1,9.801168365E0,9.804051960E0
1.146192750E0,7.454498291E-2,2.239343262E-1,9.799521790E0,9.802363533E0
1.156253750E0,7.125183105E-2,2.254312134E-1,9.793833618E0,9.796686838E0
1.166314750E0,8.202941895E-2,2.261796570E-1,9.793534241E0,9.796489115E0
1.176375750E0,7.858657837E-2,2.222877502E-1,9.794282684E0,9.797120036E0
1.186436750E0,7.364685059E-2,2.216889954E-1,9.799072723E0,9.801856768E0
1.196497750E0,7.634124756E-2,2.260299683E-1,9.795480194E0,9.798385059E0
1.206558750E0,6.691085815E-2,2.311193848E-1,9.789792023E0,9.792748393E0
1.216619750E0,6.032455444E-2,2.243833923E-1,9.792636108E0,9.795392228E0
1.226680750E0,5.897735596E-2,2.230361938E-1,9.796078949E0,9.798795143E0
1.236741750E0,7.738906860E-2,2.215393066E-1,9.798174591E0,9.800984341E0
1.246802750E0,8.098159790E-2,2.282752991E-1,9.803114319E0,9.806106158E0
1.256863750E0,7.409591675E-2,2.257305908E-1,9.798324280E0,9.801204171E0
1.266924750E0,7.439529419E-2,2.296224976E-1,9.789792023E0,9.792767178E0
1.276986750E0,7.334747314E-2,2.234852600E-1,9.786199493E0,9.789025796E0
1.287047750E0,7.574249268E-2,2.245330811E-1,9.807006226E0,9.809868661E0
1.297108750E0,7.379653931E-2,2.210902405E-1,9.796378326E0,9.799150736E0
1.307169750E0,6.975494385E-2,2.273771667E-1,9.795779572E0,9.798666417E0
1.317230750E0,7.274871826E-2,2.276765442E-1,9.793234863E0,9.796151187E0
1.327291750E0,6.990463257E-2,2.288740540E-1,9.797126770E0,9.800049129E0
1.337352750E0,6.930587769E-2,2.321672058E-1,9.793085175E0,9.796081980E0
1.347413750E0,7.649093628E-2,2.309696960E-1,9.799970856E0,9.802990699E0
1.357474750E0,8.158035278E-2,2.222877502E-1,9.799222412E0,9.802082793E0
1.367535750E0,7.050338745E-2,2.252815247E-1,9.785451050E0,9.788297847E0
1.377596750E0,7.005432129E-2,2.234852600E-1,9.804012451E0,9.806809543E0
1.387657750E0,6.780899048E-2,2.225871277E-1,9.795480194E0,9.798243481E0
1.397718750E0,7.304809570E-2,2.185455322E-1,9.801617432E0,9.804325701E0
1.407779750E0,7.424560547E-2,2.194436646E-1,9.798773346E0,9.801511466E0
1.417841750E0,7.813751221E-2,2.191442871E-1,9.792636108E0,9.795399514E0
1.427902750E0,7.409591675E-2,2.314187622E-1,9.793683929E0,9.796697901E0
1.437963750E0,7.214996338E-2,2.246827698E-1,9.808203735E0,9.811042171E0
1.448024750E0,7.274871826E-2,2.225871277E-1,9.796228638E0,9.799027142E0
1.458085750E0,7.110214233E-2,2.243833923E-1,9.798473969E0,9.801300706E0
1.468146750E0,7.185058594E-2,2.210902405E-1,9.792636108E0,9.795395110E0
1.478207750E0,7.993377686E-2,2.239343262E-1,9.796228638E0,9.799113813E0
1.488268750E0,6.870712280E-2,2.249821472E-1,9.798773346E0,9.801596641E0
1.498329750E0,7.140151978E-2,2.284249878E-1,9.801318054E0,9.804239478E0
1.508390750E0,7.364685059E-2,2.300715637E-1,9.796228638E0,9.799206718E0
1.518451750E0,7.604187012E-2,2.261796570E-1,9.792935486E0,9.795842232E0
1.528512750E0,7.095245361E-2,2.275268555E-1,9.799671478E0,9.802569245E0
1.538573750E0,6.795867920E-2,2.242337036E-1,9.794582062E0,9.797384187E0
1.548634750E0,7.035369873E-2,2.194436646E-1,9.787247314E0,9.789959916E0
1.558695750E0,7.020401001E-2,2.252815247E-1,9.798024902E0,9.800865898E0
1.568757750E0,7.229965210E-2,2.206411743E-1,9.800270233E0,9.803020270E0
1.578819750E0,6.825805664E-2,2.239343262E-1,9.800569611E0,9.803365261E0
1.588880750E0,7.768844604E-2,2.311193848E-1,9.794731750E0,9.797766160E0
1.598941750E0,6.616241455E-2,2.351609802E-1,9.796977081E0,9.800022351E0
1.609002750E0,7.170089722E-2,2.243833923E-1,9.789043579E0,9.791877405E0
1.619063750E0,7.694000244E-2,2.249821472E-1,9.792486420E0,9.795372735E0
1.629124750E0,7.289840698E-2,2.282752991E-1,9.802216187E0,9.805144872E0
1.639185750E0,7.469467163E-2,2.204914856E-1,9.804611206E0,9.807374607E0
1.649246750E0,7.544311523E-2,2.261796570E-1,9.793683929E0,9.796585824E0
1.659307750E0,7.963439941E-2,2.321672058E-1,9.799072723E0,9.802146167E0
1.669368750E0,7.080276489E-2,2.254312134E-1,9.792336731E0,9.795187130E0
1.679429750E0,7.723937988E-2,2.225871277E-1,9.802515564E0,9.805346620E0
1.689490750E0,7.409591675E-2,2.248324585E-1,9.796827393E0,9.799687077E0
1.699551750E0,8.173004150E-2,2.210902405E-1,9.788444824E0,9.791282489E0
1.709612750E0,7.723937988E-2,2.270777893E-1,9.799222412E0,9.802157422E0
1.719674750E0,8.083190918E-2,2.219883728E-1,9.802814941E0,9.805661294E0
1.729735750E0,8.008346558E-2,2.239343262E-1,9.797426147E0,9.800312192E0
1.739796750E0,7.664062500E-2,2.305206299E-1,9.797126770E0,9.800138085E0
1.749857750E0,7.664062500E-2,2.281256104E-1,9.791887665E0,9.794844517E0
1.759918750E0,7.095245361E-2,2.213896179E-1,9.795929260E0,9.798687549E0
1.769979750E0,7.304809570E-2,2.252815247E-1,9.793833618E0,9.796696623E0
1.780040750E0,7.783813477E-2,2.233355713E-1,9.796078949E0,9.798933632E0
1.790101750E0,7.379653931E-2,2.219883728E-1,9.798324280E0,9.801116439E0
1.800162750E0,7.035369873E-2,2.290237427E-1,9.796677704E0,9.799606908E0
1.810223750E0,6.616241455E-2,2.288740540E-1,9.784852295E0,9.787752307E0
