"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.180121250E0,1.926493835E-1,1.053808594E-1,9.670639801E0,9.673132537E0
1.190182250E0,2.014810181E-1,1.133143616E-1,9.738598480E0,9.741341545E0
1.200243250E0,2.010319519E-1,1.106199646E-1,9.640402679E0,9.643133020E0
1.210303250E0,1.945953369E-1,1.008901978E-1,9.614207153E0,9.616705536E0
1.220364250E0,2.113604736E-1,1.080752563E-1,9.764045563E0,9.766930903E0
1.230425250E0,2.047741699E-1,1.094224548E-1,9.797875214E0,9.800625717E0
1.240486250E0,1.960922241E-1,1.073268127E-1,9.696835327E0,9.699411661E0
1.250547250E0,1.962419128E-1,1.079255676E-1,9.753866730E0,9.756437618E0
1.260608250E0,1.992356873E-1,1.040336609E-1,9.887239380E0,9.889793750E0
1.270668250E0,2.008822632E-1,1.124162292E-1,9.834998016E0,9.837691654E0
1.280729250E0,2.029779053E-1,1.010398865E-1,9.791438599E0,9.794063453E0
1.290790250E0,2.065704346E-1,8.442443848E-2,9.894424438E0,9.896940628E0
1.300851250E0,2.095642090E-1,1.020877075E-1,9.935439148E0,9.938173379E0
1.310912250E0,2.016307068E-1,9.041198730E-2,9.824070740E0,9.826555611E0
1.320973250E0,1.916015625E-1,8.247848511E-2,9.829459534E0,9.831672726E0
1.331033250E0,1.998344421E-1,7.903564453E-2,9.927355957E0,9.929681603E0
1.341094250E0,2.148033142E-1,8.322692871E-2,9.874964905E0,9.877651495E0
1.351155250E0,2.082170105E-1,7.319778442E-2,9.754465485E0,9.756962085E0
1.361216250E0,1.968406677E-1,8.068222046E-2,9.802066498E0,9.804374712E0
1.371277250E0,2.091151428E-1,9.415420532E-2,9.872120819E0,9.874784232E0
1.381338250E0,1.944456482E-1,9.505233765E-2,9.785301361E0,9.787694661E0
1.391398250E0,1.930984497E-1,9.580078125E-2,9.680369568E0,9.682769220E0
1.401459250E0,2.019300842E-1,9.909393311E-2,9.763746185E0,9.766336823E0
1.411520250E0,2.014810181E-1,1.125659180E-1,9.850715332E0,9.853418607E0
1.421581250E0,1.886077881E-1,1.377136230E-1,9.676327972E0,9.679145674E0
1.431642250E0,1.969903564E-1,1.432521057E-1,9.691895599E0,9.694955734E0
1.441702250E0,2.095642090E-1,1.532812500E-1,9.837991791E0,9.841417315E0
1.451763250E0,2.143542480E-1,1.351689148E-1,9.780960388E0,9.784242663E0
1.461824250E0,2.213896179E-1,1.222956848E-1,9.635313263E0,9.638632230E0
1.471885250E0,2.272274780E-1,9.999206543E-2,9.768985291E0,9.772139190E0
1.481946250E0,2.243833923E-1,1.062789917E-1,9.891430664E0,9.894546160E0
1.492007250E0,2.257305908E-1,9.774673462E-2,9.748777313E0,9.751880220E0
1.502068250E0,2.179467773E-1,1.001417542E-1,9.754315796E0,9.757264259E0
1.512128250E0,2.317181396E-1,1.010398865E-1,9.903854828E0,9.907080438E0
1.522189250E0,2.165995789E-1,9.026229858E-2,9.841434631E0,9.844231725E0
1.532250250E0,1.993853760E-1,8.337661743E-2,9.734407196E0,9.736805926E0
1.542311250E0,1.951940918E-1,6.152206421E-2,9.829908600E0,9.832038892E0
1.552372250E0,2.053729248E-1,6.316864014E-2,9.908046112E0,9.910375678E0
1.562433250E0,2.043251038E-1,5.508544922E-2,9.799372101E0,9.801656836E0
1.572493250E0,1.901046753E-1,5.194198608E-2,9.759255524E0,9.761245112E0
1.582554250E0,1.983375549E-1,5.987548828E-2,9.857750702E0,9.859927574E0
1.592615250E0,2.068698120E-1,8.113128662E-2,9.858798523E0,9.861302435E0
1.602676250E0,1.956431580E-1,9.295669556E-2,9.755213928E0,9.757618356E0
1.612737250E0,1.995350647E-1,1.040336609E-1,9.776020660E0,9.778610187E0
1.622798250E0,2.088157654E-1,1.187031555E-1,9.861941986E0,9.864866659E0
1.632858250E0,2.002835083E-1,1.254391479E-1,9.831405487E0,9.834245386E0
1.642919250E0,1.983375549E-1,1.312770081E-1,9.717642059E0,9.720552383E0
1.652980250E0,1.956431580E-1,1.341210938E-1,9.779014435E0,9.781890821E0
1.663041250E0,2.019300842E-1,1.341210938E-1,9.839937744E0,9.842923297E0
1.673102250E0,1.957928467E-1,1.368154907E-1,9.742640076E0,9.745567657E0
1.683163250E0,1.857637024E-1,1.284329224E-1,9.703571320E0,9.706199026E0
1.693223250E0,2.086660767E-1,1.359173584E-1,9.810748444E0,9.813908502E0
1.703284250E0,2.107617188E-1,1.414558411E-1,9.804461517E0,9.807746729E0
1.713345250E0,2.116598511E-1,1.263372803E-1,9.733209686E0,9.736330510E0
1.723406250E0,2.101629639E-1,1.016386414E-1,9.741592255E0,9.744389080E0
1.733467250E0,2.182461548E-1,9.699829102E-2,9.832453308E0,9.835353482E0
1.743528250E0,2.179467773E-1,9.385482788E-2,9.780960388E0,9.783838492E0
1.753588250E0,2.136058044E-1,7.813751221E-2,9.717492371E0,9.720153851E0
1.763653375E0,2.170486450E-1,6.706054688E-2,9.783954163E0,9.786591147E0
1.773714375E0,2.119592285E-1,7.619155884E-2,9.858798523E0,9.861371111E0
1.783775375E0,2.134561157E-1,6.915618896E-2,9.818532257E0,9.821095752E0
1.793836375E0,2.083666992E-1,5.763015747E-2,9.773475952E0,9.775866719E0
1.803897375E0,2.016307068E-1,5.957611084E-2,9.833201752E0,9.835449199E0
1.813957375E0,2.136058044E-1,6.930587769E-2,9.958341522E0,9.960873286E0
1.824018375E0,1.998344421E-1,6.825805664E-2,9.785600739E0,9.787878973E0
1.834079375E0,1.874102783E-1,7.589218140E-2,9.798174591E0,9.800260586E0
1.844140375E0,1.923500061E-1,8.666976929E-2,9.927655334E0,9.929896808E0
